timestamp,fridge,wine_cellar,garage_door,microwave,living_room_appliances,temperature,humidity,visibility,wind_speed,cloud_cover,pressure,total_energy_consumption
01-01-2024 0.00,0.087454012,0.048248231,0.021400968,0.13478889,0.388501639,25.11681725,67.4482895,2.198624164,3.882553433,78.96419016,1000.861759,0.680393739
01-01-2024 1.00,0.145071431,0.083982669,0.032914189,0.107466965,0.402047116,27.89393437,88.64522848,6.779475898,9.905034764,52.88805878,1016.551026,0.77148237
01-01-2024 2.00,0.123199394,0.064374962,0.013190304,0.08882884,0.188399263,33.19275845,36.02116283,8.239973065,1.54060951,16.6889239,990.7804604,0.477992763
01-01-2024 3.00,0.109865848,0.086074585,0.000603497,0.126887988,0.300398735,29.15105662,56.35983017,8.120698019,0.300457011,44.50410751,1029.305092,0.623830653
01-01-2024 4.00,0.065601864,0.070516703,0.025946868,0.165535881,0.24008077,15.90918451,88.64177447,7.477148378,1.436446892,92.4345368,1017.450593,0.567682087
01-01-2024 5.00,0.065599452,0.082752438,0.030287974,0.085538582,0.408762497,31.77120727,52.77408171,8.98685159,4.790737298,65.82039901,1019.497632,0.672940944
01-01-2024 6.00,0.055808361,0.067885039,0.048143525,0.128223893,0.348993328,34.7871003,74.37338251,2.956139916,0.466419207,72.98865065,985.3214386,0.649054146
01-01-2024 7.00,0.136617615,0.053131285,0.02947354,0.190714445,0.290393222,24.44970051,31.82417406,1.965618518,9.457369083,78.59365074,1003.8156,0.700330107
01-01-2024 8.00,0.110111501,0.096635669,0.023558628,0.167924899,0.411745306,34.39180673,71.69022688,6.538266731,4.748168076,9.069342419,1027.280468,0.809976003
01-01-2024 9.00,0.120807258,0.063289106,0.028670081,0.085200162,0.194062228,25.94657485,86.07760395,8.400483024,11.04564102,58.15365593,993.5033036,0.492028835
01-01-2024 10.00,0.052058449,0.068407161,0.046395031,0.128943368,0.401448752,24.19231992,52.96237711,6.238392206,0.688727044,37.59151932,987.2691827,0.697252762
01-01-2024 11.00,0.146990985,0.037639011,0.041418907,0.035414184,0.446149725,21.62809529,31.27799028,9.666977387,3.250523498,13.91591637,1004.269723,0.707612813
01-01-2024 12.00,0.133244264,0.070052063,0.016148937,0.112104437,0.451448639,28.15109752,31.67458826,8.160080153,6.12005138,20.27095583,1026.519653,0.78299834
01-01-2024 13.00,0.071233911,0.065728612,0.011862718,0.196265658,0.413469437,19.59640841,83.52139834,7.307126208,5.739773434,78.11604737,1004.339531,0.758560337
01-01-2024 14.00,0.068182497,0.034787072,0.013131681,0.103663023,0.263205667,17.09868437,73.35096643,1.542315618,1.964980093,16.14891053,1000.241715,0.482969939
01-01-2024 15.00,0.068340451,0.024766968,0.025221052,0.18552766,0.492723209,15.54474205,36.40118305,1.969680149,14.9120522,31.24186072,1012.513622,0.79657934
01-01-2024 16.00,0.080424224,0.068348746,0.037202473,0.081466984,0.251837458,20.84760225,33.27541662,8.063538693,4.266593713,28.48733383,1026.8442,0.519279884
